iter	Passed	Remaining
1295	13570	91141
1296	13607	91304
1297	13649	91507
1298	13693	91719
1299	13744	91981
1300	13795	92240
1301	13835	92430
1302	13875	92615
1303	13916	92804
1304	13960	93013
1305	14000	93200
1306	14046	93421
1307	14085	93604
1308	14127	93795
1309	14167	93981
1310	14217	94229
1311	14263	94454
1312	14311	94688
1313	14353	94882
1314	14394	95066
1315	14433	95243
1316	14486	95509
1317	14533	95736
1318	14578	95951
1319	14619	96134
1320	14662	96332
1321	14701	96507
1322	14752	96757
1323	14793	96942
1324	14831	97106
1325	14876	97316
1326	14918	97504
1327	14960	97691
1328	14996	97843
1329	15029	97976
1330	15074	98180
1331	15120	98396
1332	15168	98623
1333	15212	98822
1334	15259	99047
1335	15310	99288
1336	15347	99445
1337	15389	99630
1338	15436	99844
1339	15486	100086
1340	15527	100261
1341	15571	100462
1342	15613	100645
1343	15659	100856
1344	15701	101040
1345	15745	101232
1346	15789	101429
1347	15825	101574
1348	15867	101753
1349	15920	102011
1350	15970	102240
1351	16021	102479
1352	16065	102676
1353	16114	102900
1354	16154	103064
1355	16199	103264
1356	16243	103458
1357	16287	103652
1358	16333	103854
1359	16376	104038
1360	16425	104258
1361	16469	104450
1362	16516	104659
1363	16560	104850
1364	16600	105017
1365	16651	105250
1366	16693	105421
1367	16737	105614
1368	16780	105792
1369	16824	105980
1370	16872	106196
1371	16917	106390
1372	16964	106592
1373	17010	106789
1374	17053	106969
1375	17101	107184
1376	17146	107376
1377	17192	107569
1378	17238	107766
1379	17277	107920
1380	17325	108132
1381	17370	108318
1382	17417	108522
1383	17457	108681
1384	17503	108873
1385	17550	109077
1386	17596	109268
1387	17637	109433
1388	17681	109617
1389	17730	109828
1390	17788	110095
1391	17831	110269
1392	17877	110463
1393	17923	110653
1394	17981	110920
1395	18036	111163
1396	18079	111338
1397	18123	111516
1398	18163	111666
1399	18211	111870
1400	18256	112054
1401	18296	112205
1402	18341	112388
1403	18387	112576
1404	18427	112732
1405	18476	112937
1406	18525	113143
1407	18574	113347
1408	18615	113500
1409	18655	113653
1410	18705	113863
1411	18747	114026
1412	18793	114209
1413	18837	114381
1414	18884	114577
1415	18937	114800
1416	18983	114985
1417	19025	115146
1418	19073	115342
1419	19118	115517
1420	19168	115725
1421	19223	115960
1422	19270	116150
1423	19315	116327
1424	19362	116515
1425	19423	116783
1426	19475	117003
1427	19518	117168
1428	19559	117313
1429	19600	117466
1430	19651	117675
1431	19697	117857
1432	19747	118059
1433	19792	118228
1434	19839	118416
1435	19882	118575
1436	19931	118768
1437	19972	118918
1438	20012	119058
1439	20059	119240
1440	20110	119450
1441	20155	119620
1442	20196	119765
1443	20248	119974
1444	20282	120079
1445	20330	120268
1446	20378	120453
1447	20417	120589
1448	20457	120727
1449	20500	120882
1450	20548	121067
1451	20591	121220
1452	20630	121357
1453	20674	121518
1454	20712	121641
1455	20758	121815
1456	20814	122046
1457	20862	122224
1458	20910	122408
1459	20952	122557
1460	20997	122722
1461	21045	122904
1462	21090	123071
1463	21139	123254
1464	21182	123410
1465	21230	123588
1466	21276	123759
1467	21318	123902
1468	21360	124047
1469	21413	124257
1470	21455	124400
1471	21500	124561
1472	21548	124739
1473	21593	124900
1474	21634	125040
1475	21683	125222
1476	21720	125335
1477	21764	125494
1478	21811	125665
1479	21856	125821
1480	21906	126010
1481	21948	126149
1482	21984	126259
1483	22027	126404
1484	22069	126546
1485	22116	126714
1486	22157	126848
1487	22197	126976
1488	22245	127153
1489	22286	127288
1490	22333	127452
1491	22386	127654
1492	22427	127790
1493	22470	127936
1494	22517	128102
1495	22573	128316
1496	22615	128458
1497	22652	128567
1498	22691	128688
1499	22739	128854
1500	22792	129056
1501	22836	129205
1502	22877	129336
1503	22918	129464
1504	22958	129588
1505	22997	129709
1506	23053	129921
1507	23099	130079
1508	23141	130213
1509	23181	130338
1510	23228	130503
1511	23270	130632
1512	23318	130799
1513	23358	130925
1514	23398	131046
1515	23446	131216
1516	23493	131375
1517	23538	131524
1518	23577	131639
1519	23625	131807
1520	23668	131942
1521	23715	132104
1522	23749	132191
1523	23796	132349
1524	23838	132481
1525	23881	132614
1526	23926	132763
1527	23972	132914
1528	24017	133062
1529	24055	133171
1530	24104	133339
1531	24148	133480
1532	24186	133586
1533	24227	133709
1534	24280	133901
1535	24324	134038
1536	24370	134189
1537	24414	134328
1538	24460	134477
1539	24504	134617
1540	24556	134800
1541	24596	134913
1542	24638	135039
1543	24677	135150
1544	24722	135293
1545	24775	135479
1546	24819	135617
1547	24862	135750
1548	24904	135874
1549	24949	136015
1550	24992	136145
1551	25033	136264
1552	25083	136430
1553	25129	136577
1554	25179	136744
1555	25218	136854
1556	25255	136948
1557	25292	137048
1558	25340	137204
1559	25390	137371
1560	25432	137494
1561	25483	137664
1562	25527	137795
1563	25571	137926
1564	25616	138064
1565	25656	138179
1566	25696	138286
1567	25751	138480
1568	25794	138608
1569	25835	138719
1570	25883	138872
1571	25925	138997
1572	25980	139186
1573	26028	139336
1574	26075	139481
1575	26115	139592
1576	26157	139711
1577	26203	139850
1578	26243	139957
1579	26292	140117
1580	26336	140245
1581	26386	140403
1582	26432	140547
1583	26480	140691
1584	26522	140811
1585	26564	140931
1586	26604	141034
1587	26650	141173
1588	26702	141342
1589	26745	141464
1590	26800	141650
1591	26841	141759
1592	26880	141861
1593	26929	142014
1594	26969	142116
1595	27018	142269
1596	27057	142368
1597	27103	142504
1598	27144	142615
1599	27190	142752
1600	27240	142906
1601	27289	143056
1602	27333	143181
1603	27372	143280
1604	27421	143430
1605	27468	143567
1606	27519	143727
1607	27571	143894
1608	27612	143998
1609	27657	144127
1610	27693	144210
1611	27739	144340
1612	27787	144484
1613	27839	144650
1614	27879	144751
1615	27917	144836
1616	27969	144999
1617	28010	145105
1618	28050	145206
1619	28088	145296
1620	28132	145420
1621	28179	145555
1622	28221	145662
1623	28260	145754
1624	28303	145872
1625	28348	145994
1626	28393	146120
1627	28439	146248
1628	28478	146343
1629	28521	146454
1630	28567	146584
1631	28607	146684
1632	28644	146765
1633	28690	146893
1634	28738	147032
1635	28777	147121
1636	28822	147246
1637	28861	147337
1638	28901	147432
1639	28950	147577
1640	29000	147721
1641	29055	147897
1642	29101	148022
1643	29150	148166
1644	29200	148311
1645	29249	148449
1646	29298	148589
1647	29346	148724
1648	29395	148867
1649	29433	148953
1650	29486	149110
1651	29528	149216
1652	29565	149293
1653	29605	149386
1654	29645	149480
1655	29696	149631
1656	29745	149768
1657	29791	149892
1658	29840	150029
1659	29885	150147
1660	29934	150282
1661	29977	150391
1662	30026	150530
1663	30066	150621
1664	30104	150702
1665	30161	150878
1666	30208	151008
1667	30261	151160
1668	30297	151233
1669	30339	151333
1670	30393	151493
1671	30430	151572
1672	30473	151674
1673	30527	151834
1674	30573	151953
1675	30613	152046
1676	30656	152151
1677	30698	152250
